instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,cnt_hour,konsistensi,avg_casual_hourly,avg_registered_hourly,avg_humidity,avg_windspeed,avg_temp,avg_atemp
43,2011-02-12,1,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,1472,True,12.0,49.333333333333336,0.5441666666666667,0.20336666666666667,0.2225,0.23295416666666666
44,2011-02-13,1,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,1589,True,17.26086956521739,51.82608695652174,0.45739130434782604,0.26088260869565216,0.3165217391304348,0.32411304347826086
45,2011-02-14,1,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,1913,True,8.666666666666666,71.04166666666667,0.3758333333333333,0.4179083333333333,0.41500000000000004,0.39835
46,2011-02-15,1,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,1815,True,6.086956521739131,72.82608695652173,0.31434782608695655,0.29137391304347826,0.26608695652173914,0.25427391304347824
47,2011-02-16,1,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,2115,True,9.478260869565217,82.47826086956522,0.42347826086956525,0.2517913043478261,0.31826086956521743,0.3162
48,2011-02-17,1,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,2475,True,10.791666666666666,92.33333333333333,0.505,0.23010416666666667,0.43583333333333335,0.4286583333333333
49,2011-02-18,1,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,2927,True,24.125,97.83333333333333,0.5166666666666667,0.264925,0.5216666666666666,0.5119833333333333
50,2011-02-19,1,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,1635,True,22.166666666666668,45.958333333333336,0.18791666666666665,0.5074625,0.39916666666666667,0.3914041666666667
51,2011-02-20,1,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,1812,True,27.782608695652176,51.0,0.40782608695652167,0.22323478260869567,0.28521739130434787,0.27733043478260866
52,2011-02-21,1,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,1107,True,8.125,38.0,0.605,0.3078458333333333,0.30333333333333334,0.284075
53,2011-02-22,1,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,1450,True,4.111111111111111,76.44444444444444,0.5777777777777778,0.19568333333333332,0.18222222222222223,0.18603333333333336
54,2011-02-23,1,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,1917,True,6.043478260869565,77.30434782608695,0.4230434782608696,0.09411304347826087,0.2217391304347826,0.2457173913043478
55,2011-02-24,1,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,1807,True,4.3478260869565215,74.21739130434783,0.697391304347826,0.25049565217391306,0.2956521739130435,0.2891913043478261
56,2011-02-25,1,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,1461,True,5.217391304347826,58.30434782608695,0.7121739130434782,0.34653913043478257,0.36434782608695654,0.3504608695652173
57,2011-02-26,1,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,1969,True,17.666666666666668,64.375,0.5379166666666667,0.18657083333333335,0.28250000000000003,0.2821916666666667
58,2011-02-27,1,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,2402,True,30.17391304347826,74.26086956521739,0.68,0.12524782608695653,0.34347826086956523,0.3511086956521739
59,2011-02-28,1,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,1446,True,3.6818181818181817,62.04545454545455,0.8763636363636365,0.28968636363636363,0.4072727272727273,0.4001181818181818
60,2011-03-01,1,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,1851,True,5.708333333333333,71.41666666666667,0.535,0.216425,0.26666666666666666,0.26387916666666666
61,2011-03-02,1,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,2134,True,9.625,79.29166666666667,0.4495833333333333,0.30783333333333335,0.335,0.32007083333333336
62,2011-03-03,1,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,1685,True,5.125,65.08333333333333,0.3183333333333333,0.22575416666666667,0.19833333333333333,0.20013333333333336
63,2011-03-04,1,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,1944,True,8.916666666666666,72.08333333333333,0.6104166666666667,0.20334583333333334,0.26166666666666666,0.2556791666666666
64,2011-03-05,1,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,2077,True,26.666666666666668,59.875,0.7891666666666667,0.2518708333333333,0.3841666666666667,0.37877916666666667
65,2011-03-06,1,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,605,True,4.956521739130435,21.347826086956523,0.9482608695652174,0.34328695652173913,0.3765217391304348,0.3662521739130435
66,2011-03-07,1,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,1872,True,10.608695652173912,70.78260869565217,0.551304347826087,0.34135217391304346,0.26173913043478264,0.23846086956521736
67,2011-03-08,1,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,2133,True,13.166666666666666,75.70833333333333,0.42083333333333334,0.12065,0.2925,0.3024
68,2011-03-09,1,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,1891,True,7.958333333333333,70.83333333333333,0.7754166666666666,0.22014999999999998,0.29583333333333334,0.2866083333333333
69,2011-03-10,1,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,623,True,2.090909090909091,26.227272727272727,0.0,0.26187727272727274,0.3890909090909091,0.3856681818181818
70,2011-03-11,1,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,1977,True,10.73913043478261,75.21739130434783,0.6495652173913044,0.2329695652173913,0.3165217391304348,0.305
71,2011-03-12,1,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,2132,True,30.166666666666668,58.666666666666664,0.5945833333333334,0.22077500000000003,0.32916666666666666,0.32575
72,2011-03-13,1,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,2417,True,42.69565217391305,62.391304347826086,0.5273913043478261,0.270604347826087,0.3843478260869565,0.3800913043478261
73,2011-03-14,1,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,2046,True,15.608695652173912,73.34782608695652,0.4969565217391304,0.13692608695652173,0.32521739130434785,0.33199999999999996
74,2011-03-15,1,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,2056,True,12.565217391304348,76.82608695652173,0.6556521739130435,0.18430869565217395,0.3173913043478261,0.3181782608695652
75,2011-03-16,1,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,2192,True,13.956521739130435,81.34782608695652,0.7765217391304348,0.2031173913043478,0.3652173913043478,0.3669304347826087
76,2011-03-17,1,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,2744,True,17.666666666666668,96.66666666666667,0.6029166666666667,0.20957916666666665,0.41500000000000004,0.4103333333333334
77,2011-03-18,1,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,3239,True,38.43478260869565,102.3913043478261,0.5252173913043479,0.2310173913043478,0.54,0.5270086956521739
78,2011-03-19,1,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,3117,True,59.333333333333336,70.54166666666667,0.37916666666666665,0.3681666666666667,0.4725,0.466525
79,2011-03-20,1,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,2471,True,43.625,59.333333333333336,0.47375000000000006,0.20772083333333335,0.3325,0.32575
80,2011-03-21,2,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,2077,True,17.434782608695652,72.8695652173913,0.7373913043478261,0.2887826086956522,0.43043478260869567,0.4097347826086956
81,2011-03-22,2,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,2703,True,19.166666666666668,93.45833333333333,0.6245833333333334,0.22575,0.44166666666666665,0.44064166666666665
82,2011-03-23,2,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,2121,True,8.826086956521738,83.3913043478261,0.8395652173913043,0.23426086956521738,0.34695652173913044,0.3379391304347826
83,2011-03-24,2,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,1865,True,6.916666666666667,70.79166666666667,0.8058333333333333,0.24378750000000002,0.285,0.2708333333333333
84,2011-03-25,2,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,2210,True,12.5,79.58333333333333,0.49499999999999994,0.23072499999999999,0.26416666666666666,0.2563125
85,2011-03-26,2,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,2496,True,40.875,63.125,0.3941666666666667,0.20957083333333335,0.2658333333333333,0.25757083333333336
86,2011-03-27,2,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,1693,True,20.52173913043478,53.08695652173913,0.49391304347826087,0.1843,0.2530434782608696,0.25033913043478256
87,2011-03-28,2,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,2028,True,9.652173913043478,78.52173913043478,0.3021739130434783,0.21220434782608696,0.2643478260869565,0.25757391304347826
88,2011-03-29,2,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,2425,True,13.208333333333334,87.83333333333333,0.31416666666666665,0.2269958333333333,0.3025,0.2929083333333333
89,2011-03-30,2,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,1536,True,7.0,57.0,0.6466666666666666,0.1728875,0.3,0.29735
90,2011-03-31,2,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,1685,True,7.458333333333333,62.75,0.9183333333333333,0.21764583333333332,0.26833333333333337,0.257575
91,2011-04-01,2,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,2227,True,12.791666666666666,80.0,0.6862499999999999,0.2587083333333334,0.3,0.2834541666666667
92,2011-04-02,2,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,2252,True,37.416666666666664,56.416666666666664,0.6537499999999999,0.19714583333333335,0.315,0.31563749999999996
93,2011-04-03,2,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,3249,True,68.79166666666667,66.58333333333333,0.48,0.1822125,0.37833333333333335,0.3787666666666667
94,2011-04-04,2,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,3115,True,30.583333333333332,99.20833333333333,0.42625,0.38557083333333336,0.5733333333333334,0.5429291666666667
95,2011-04-05,2,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,1795,True,6.958333333333333,67.83333333333333,0.6420833333333333,0.3880666666666666,0.4141666666666666,0.39835
96,2011-04-06,2,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,2808,True,17.208333333333332,99.79166666666667,0.47083333333333327,0.26306250000000003,0.39083333333333337,0.38760833333333333
97,2011-04-07,2,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,3141,True,23.791666666666668,107.08333333333333,0.6029166666666667,0.1623125,0.4375,0.43369583333333334
98,2011-04-08,2,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,1471,True,7.166666666666667,54.125,0.83625,0.22699166666666667,0.3358333333333334,0.32447916666666665
99,2011-04-09,2,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,2455,True,36.625,65.66666666666667,0.8775,0.13308333333333333,0.3425,0.34152916666666666
100,2011-04-10,2,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,2895,True,49.5,71.125,0.8574999999999999,0.14676666666666668,0.4266666666666667,0.4267375
101,2011-04-11,2,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,3348,True,37.17391304347826,108.3913043478261,0.7169565217391304,0.3244739130434783,0.5956521739130435,0.5652173913043478
102,2011-04-12,2,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,2034,True,10.708333333333334,74.04166666666667,0.7391666666666666,0.2748791666666667,0.5025000000000001,0.4930541666666666
103,2011-04-13,2,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,2162,True,8.708333333333334,81.375,0.8191666666666667,0.25061666666666665,0.41250000000000003,0.4172833333333334
104,2011-04-14,2,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,3267,True,22.041666666666668,114.08333333333333,0.5404166666666667,0.1107,0.4675,0.46274166666666666
105,2011-04-15,2,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,3126,True,26.75,103.5,0.67125,0.226375,0.4466666666666667,0.4419125
106,2011-04-16,2,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,795,True,5.041666666666667,28.083333333333332,0.8883333333333333,0.3408083333333333,0.43083333333333335,0.42549166666666666
107,2011-04-17,2,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,3744,True,64.91666666666667,91.08333333333333,0.4795833333333333,0.30349583333333335,0.4566666666666667,0.44569583333333335
108,2011-04-18,2,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,3429,True,27.875,115.0,0.5425,0.16356666666666667,0.5125000000000001,0.5031458333333333
109,2011-04-19,2,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,3204,True,17.041666666666668,116.45833333333333,0.6658333333333334,0.15797083333333334,0.5058333333333334,0.48925833333333335
110,2011-04-20,2,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,3944,True,25.541666666666668,138.79166666666666,0.6141666666666666,0.24192500000000003,0.595,0.5643916666666666
111,2011-04-21,2,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,4189,True,31.041666666666668,143.5,0.4070833333333333,0.32525833333333337,0.45916666666666667,0.45389166666666664
112,2011-04-22,2,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,1683,True,7.375,62.75,0.7295833333333334,0.2195208333333333,0.33666666666666667,0.32195416666666665
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,4036,True,60.916666666666664,107.25,0.8879166666666666,0.23072499999999999,0.46,0.4501208333333333
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,4191,True,71.25,103.375,0.8108333333333334,0.19217499999999998,0.5816666666666667,0.5517625
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,4073,True,32.208333333333336,137.5,0.7766666666666667,0.18533333333333335,0.6066666666666667,0.5745
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,4400,True,28.25,155.08333333333334,0.7291666666666666,0.3265,0.6316666666666667,0.5940833333333333
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,3872,True,22.791666666666668,138.54166666666666,0.8354166666666667,0.3122,0.62,0.5751416666666667
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,4058,True,23.708333333333332,145.375,0.7008333333333333,0.32090833333333335,0.6175,0.5789291666666666
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,4595,True,36.583333333333336,154.875,0.45708333333333334,0.24006249999999998,0.51,0.4974625
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,5312,True,81.875,139.45833333333334,0.5033333333333333,0.235075,0.4725,0.4640208333333333
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,3351,True,47.416666666666664,92.20833333333333,0.7620833333333333,0.10635416666666668,0.45166666666666666,0.4482041666666667
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,4401,True,35.291666666666664,148.08333333333334,0.73,0.18345416666666667,0.5491666666666667,0.5328333333333334
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,4451,True,25.125,160.33333333333334,0.6970833333333334,0.3426666666666667,0.6166666666666667,0.5820791666666666
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,2633,True,10.625,99.08333333333333,0.7370833333333334,0.3289958333333333,0.4141666666666666,0.40465
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,4433,True,25.583333333333332,159.125,0.44416666666666665,0.29539166666666666,0.45916666666666667,0.4419166666666667
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,4608,True,37.25,154.75,0.59,0.22824583333333334,0.4791666666666667,0.4741166666666667
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,4714,True,67.16666666666667,129.25,0.54125,0.16045,0.52,0.5126208333333333
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,4333,True,58.375,122.16666666666667,0.6316666666666667,0.0746375,0.5283333333333333,0.5189333333333334
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,4362,True,27.666666666666668,154.08333333333334,0.58875,0.17600000000000002,0.5325,0.5252458333333333
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,4803,True,28.916666666666668,171.20833333333334,0.4891666666666667,0.11567083333333333,0.5325000000000001,0.5227208333333333
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,4182,True,22.916666666666668,151.33333333333334,0.6329166666666667,0.12064166666666666,0.5425,0.5284
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,4864,True,28.958333333333332,173.70833333333334,0.7475,0.18966666666666665,0.535,0.5233625000000001
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,4105,True,28.833333333333332,142.20833333333334,0.8633333333333333,0.17972500000000002,0.5125000000000001,0.4943
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,3409,True,37.583333333333336,104.45833333333333,0.9225,0.13495,0.5208333333333334,0.5006291666666667
